Primary Column,Location,Field,Latitude,Longitude,PlantingDate
,	CAAR 0847	,	103N	,	43.838192	,	-80.231695	,	2022-06-03
,	CAAR 0847	,	166N	,	43.838192	,	-80.231695	,	2022-06-03
,	CAAR 0847	,	105C	,	43.838192	,	-80.231695	,	2022-06-03
,	CAAR 0847	,	102N	,	43.838192	,	-80.231695	,	2022-06-03
,	CAAR 0847	,	101N	,	43.838192	,	-80.231695	,	2022-06-03
,	CAAR 0847	,	104N	,	43.838192	,	-80.231695	,	2022-06-03
,	CAAR 1848	,	195N	,	43.665339	,	-80.87530599999999	,	2022-06-05
,	CAAR 1848	,	103N	,	43.665339	,	-80.87530599999999	,	2022-06-05
,	CAAR 1848	,	102N	,	43.665339	,	-80.87530599999999	,	2022-06-05
,	CAAR 1848	,	164N	,	43.665339	,	-80.87530599999999	,	2022-06-05
,	CAAR 1848	,	101N	,	43.665339	,	-80.87530599999999	,	2022-06-05
,	CAAR 1849	,	103C	,	43.709711	,	-80.47309	,	2022-06-04
,	CAAR 1849	,	164N	,	43.709711	,	-80.47309	,	2022-06-04
,	CAAR 1849	,	195N	,	43.709711	,	-80.47309	,	2022-06-04
,	CAAR 1849	,	101N	,	43.709711	,	-80.47309	,	2022-06-04
,	CAAR 1849	,	102N	,	43.709711	,	-80.47309	,	2022-06-04
,	CAAR 1J05	,	Block C	,	46.097419	,	-72.68753700000001	,	2022-05-13
,	CAAR 1J45	,	Block C	,	46.323939	,	-72.944276	,	2022-05-13
,	CAAR 1J45	,	Block B	,	46.323939	,	-72.944276	,	2022-05-13
,	CAAR 2833	,	195N	,	43.360633	,	-80.914423	,	2022-05-30
,	CAAR 2833	,	103C	,	43.360633	,	-80.914423	,	2022-05-30
,	CAAR 2833	,	164N	,	43.360633	,	-80.914423	,	2022-05-30
,	CAAR 2833	,	102N	,	43.360633	,	-80.914423	,	2022-05-21
,	CAAR 2833	,	101N	,	43.360633	,	-80.914423	,	2022-05-20
,	CAAR 2837	,	108N	,	43.317952	,	-80.611386	,	2022-05-30
,	CAAR 2837	,	167N	,	43.317952	,	-80.611386	,	2022-05-30
